source,target,weight,value
98627cd7-e42a-49b0-ae3e-eb82c9698cd2,1695c115-bf3f-4014-9966-2b0c50179193,0.2661290322580645,33.0
436972b7-c403-41fb-96cb-5cc92730e3e0,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.14925373134328357,10.0
921a4fdf-7b88-4a37-b016-c965d423d672,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.13793103448275862,8.0
7b0dfc5a-a3d0-4af3-b661-8a359adf8ae9,83d91898-7763-47d7-b03b-b92132375c47,0.05056179775280899,54.0
efe20b1a-f7fc-4b0b-b99b-a65dff8e8f5f,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.08928571428571429,45.0
39ebc75c-43aa-4faa-88ec-797e64a33701,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.18888888888888888,17.0
39ebc75c-43aa-4faa-88ec-797e64a33701,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.1111111111111111,10.0
584ebe21-ca7e-4770-abb9-f781553fdfb9,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.10857142857142857,38.0
29c83c29-d513-4909-9b2b-6b4176b034ff,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.07635206786850478,72.0
f149b9b6-4421-4efd-a538-8ea6173381e3,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.05185185185185185,28.0
ac6b5154-b3ad-4b68-b987-8dfa21f02fe0,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.13709677419354838,34.0
187705de-9b0d-4936-ab2d-88c744834548,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.07211538461538461,15.0
84bde243-41d0-4a20-850b-3dc2763e817d,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.05392156862745098,33.0
1c91fc05-2a4e-4ac9-a54f-a3cd17ab0b5d,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.19718309859154928,14.0
68845a32-b328-403c-ad02-f74093048cd4,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.358974358974359,14.0
04c22539-bab9-4a3f-b21e-31043d47620b,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.07692307692307693,1.0
4c17fe21-9577-460a-bf4a-575085c61419,83d91898-7763-47d7-b03b-b92132375c47,0.05636743215031315,27.0
e8ab939f-ce0a-4f6d-9c05-2fe0c7e7de1d,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.5517241379310345,16.0
e8ab939f-ce0a-4f6d-9c05-2fe0c7e7de1d,83d91898-7763-47d7-b03b-b92132375c47,0.06896551724137931,2.0
db66d463-28f7-45e9-a113-4da99c397eb8,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.06666666666666667,5.0
e7a68a63-ee98-40c1-b3f4-a6a1702bb5c1,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.1865671641791045,25.0
ea80d643-e2f5-411a-9640-d71befe39601,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.058823529411764705,14.0
a287ee08-e8a1-456d-9787-e4348fcc7969,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.75,9.0
9ab44c29-be27-46fe-8edd-68b53bb6f9bf,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.5,3.0
21f8653e-6d65-4cfa-8baf-67b42739d52b,1695c115-bf3f-4014-9966-2b0c50179193,0.10752688172043011,20.0
4d820668-98ff-4cef-a484-e8aa49067362,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.07017543859649122,16.0
2a22321e-b24e-41bf-b99b-557f1d20ede9,83d91898-7763-47d7-b03b-b92132375c47,0.051580698835274545,31.0
54a9a878-51d9-4aa9-8053-777ff1658f1d,83d91898-7763-47d7-b03b-b92132375c47,0.08333333333333333,10.0
cba6e12e-3ef8-40d0-8312-cdf1d7d57a29,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.05921052631578947,9.0
2722f928-c634-409f-b5d5-e6b117ff6d89,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.265625,17.0
d95a9055-f37e-442a-8431-59f619fc336f,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.0910344827586207,66.0
864c7eec-229b-45a1-a7bd-ecf2b917045b,1695c115-bf3f-4014-9966-2b0c50179193,0.20496894409937888,66.0
864c7eec-229b-45a1-a7bd-ecf2b917045b,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.055900621118012424,18.0
930d5364-bfc9-4ba7-a887-590e18838c7a,83d91898-7763-47d7-b03b-b92132375c47,0.4028776978417266,56.0
1b2d4efc-1929-4c7f-84e1-66ac82259e8a,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.08064516129032258,5.0
360facd5-01de-4713-be28-916d3eab5fae,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.75,3.0
594b04f2-b315-4a3c-81ff-f7fb6b561fcb,83d91898-7763-47d7-b03b-b92132375c47,0.0536480686695279,25.0
8b824b6b-d987-4933-94b2-2dd6cc71c6a0,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.10526315789473684,8.0
9dd68a01-2ea8-4779-b1ac-34c887ef329a,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.06696428571428571,15.0
6cde9069-0440-4c25-badb-1894015b8b99,83d91898-7763-47d7-b03b-b92132375c47,0.2,21.0
a9ce7734-24ab-4130-b4d4-8d5eb35fdb44,83d91898-7763-47d7-b03b-b92132375c47,0.5,1.0
44d4ac67-b5cd-49a4-a830-5033db853c2b,83d91898-7763-47d7-b03b-b92132375c47,0.12371134020618557,12.0
3e2f3190-45a4-480a-8ab5-61308c002fb2,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.06060606060606061,32.0
a140185e-e997-4057-ac7b-c9f38784e4c5,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.11267605633802817,8.0
973800e4-1e45-4683-bb92-75893c7d58a7,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.2,9.0
49db7100-9316-426f-9c46-1feb1cbe2705,83d91898-7763-47d7-b03b-b92132375c47,0.11764705882352941,12.0
8602d053-d56c-438c-8adb-a2c9809e111d,1695c115-bf3f-4014-9966-2b0c50179193,0.1425091352009744,117.0
f709e311-8c47-485b-933b-852ca6a501bd,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.08695652173913043,16.0
2eee971d-9972-474c-897f-f89ed6b18954,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.08108108108108109,6.0
8a7196f0-7bc0-45e3-b93f-3445f30dd664,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.11016949152542373,13.0
e1552774-b34b-41e9-a58b-459bd398504b,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.0847457627118644,5.0
ef2dc598-55e7-4648-9180-4e24bc50211b,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.3157894736842105,6.0
067b6f40-6c24-468f-a66e-a55948fa9a67,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.05014749262536873,34.0
ce019954-4e3d-4dd2-adc7-3c9308589d2b,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.07042253521126761,15.0
ce019954-4e3d-4dd2-adc7-3c9308589d2b,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.07981220657276995,17.0
e9e9bd5f-b003-4465-99d5-438662645200,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.058823529411764705,6.0
0a84f423-0539-4c53-8b74-1089b4909f56,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.3333333333333333,1.0
140b6529-f608-44f3-8f10-b33545eddee9,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.5555555555555556,40.0
8a271ade-5c59-4223-9b29-cdc2599bcba6,83d91898-7763-47d7-b03b-b92132375c47,0.11538461538461539,3.0
a74bd336-7e59-4bdb-a33d-61073bdcfe44,cc197bad-dc9c-440d-a5b5-d52ba2e14234,0.358974358974359,70.0
2ab36dee-033b-4b9f-82a7-140c7e22bec4,83d91898-7763-47d7-b03b-b92132375c47,0.08547008547008547,10.0
0d978322-5753-47d2-9893-9ced96152db1,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.051704545454545454,91.0
245f7a1a-b799-40f1-a11a-6b379dbe0fa1,a74b1b7f-71a5-4011-9441-d0b5e4122711,0.39705882352941174,27.0
e79d4910-643e-4c7a-b393-5448e92e3363,1695c115-bf3f-4014-9966-2b0c50179193,0.07734806629834254,14.0
120e728a-4078-47b7-a31c-d581ade28bde,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.0669465826918591,861.0
f7ee55df-61ae-4d22-989b-60ada0ea44a4,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.4772727272727273,21.0
086e14c3-a440-4b72-9370-5c62fa184f50,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.17307692307692307,18.0
4406b478-02c4-436d-87f6-30ddea9e9ef6,83d91898-7763-47d7-b03b-b92132375c47,1.0,1.0
d02e6dea-e752-4417-8258-0cec7f76205e,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.08860759493670886,7.0
aa8c991b-506c-487c-bc88-ede49312f5d6,83d91898-7763-47d7-b03b-b92132375c47,0.15254237288135594,45.0
aa0aa230-6bbc-4a3c-913e-05f71ba35884,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.05816831683168317,47.0
991e5d82-3d7e-48a8-a6c9-eee37a39364b,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.06199460916442048,23.0
8d27ada6-efa5-4dc9-90ea-ce76aee91e0a,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,0.13025210084033614,31.0
2479b2ab-6094-4034-bde5-874f9ef3cfdb,1695c115-bf3f-4014-9966-2b0c50179193,0.11252992817238627,141.0
c8816a7f-9d95-4c81-ba0f-565b9b5174d7,83d91898-7763-47d7-b03b-b92132375c47,0.09859154929577464,42.0
49b9b10d-6795-4d54-8f43-a277210f4d2b,f59c5520-5f46-4d2c-b2c4-822eabf53419,0.051094890510948905,7.0
49b9b10d-6795-4d54-8f43-a277210f4d2b,8bfac288-ccc5-448d-9573-c33ea2aa5c30,0.058394160583941604,8.0
0a85e473-5c13-4c69-8b4d-32b50bb392a8,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,0.16666666666666666,42.0
0a85e473-5c13-4c69-8b4d-32b50bb392a8,1695c115-bf3f-4014-9966-2b0c50179193,0.19047619047619047,48.0
